,created_at,retweet_count,favorite_count,rating_numerator,rating_denominator,dog_breed,display_text_range,entities_size_large_w,entities_size_large_h
0,2017-08-01 16:23:56+00:00,6886,32927,13,10,unknown,86,540,528
1,2017-08-01 00:17:27+00:00,5185,28468,13,10,chihuahua,139,1407,1600
2,2017-07-31 00:18:03+00:00,3424,21382,12,10,chihuahua,122,1201,1600
3,2017-07-30 15:58:51+00:00,7096,35915,13,10,labrador_retriever,80,1201,1600
4,2017-07-29 16:00:24+00:00,7616,34330,12,10,basset,139,720,540
5,2017-07-29 00:08:17+00:00,2551,17276,13,10,chesapeake_bay_retriever,139,899,899
6,2017-07-28 16:27:12+00:00,1621,10079,13,10,appenzeller,141,768,1024
7,2017-07-28 00:22:40+00:00,15465,55404,13,10,pomeranian,119,1200,1328
8,2017-07-27 16:25:51+00:00,3564,23829,13,10,irish_terrier,123,1201,1600
9,2017-07-26 15:59:51+00:00,5995,27192,14,10,pembroke,134,1201,1600
10,2017-07-26 00:31:25+00:00,6042,26318,13,10,samoyed,131,1601,1600
11,2017-07-25 16:11:53+00:00,4088,23858,13,10,french_bulldog,108,895,971
12,2017-07-25 01:55:32+00:00,8193,40927,13,10,pembroke,107,1080,1350
13,2017-07-25 00:10:02+00:00,3654,23042,12,10,french_bulldog,92,1201,1600
14,2017-07-24 17:02:04+00:00,1855,12988,13,10,golden_retriever,119,1201,1600
15,2017-07-24 00:19:32+00:00,4371,21473,13,10,whippet,139,320,568
16,2017-07-23 00:22:39+00:00,3693,24928,12,10,golden_retriever,87,1201,1600
17,2017-07-22 16:56:37+00:00,3467,21843,13,10,golden_retriever,129,1201,1600
18,2017-07-22 00:23:06+00:00,2837,16859,13,10,siberian_husky,88,1600,1016
19,2017-07-20 16:49:33+00:00,2844,18588,12,10,french_bulldog,128,1285,1600
20,2017-07-19 16:06:48+00:00,4452,25852,13,10,basset,128,1600,900
21,2017-07-19 03:39:09+00:00,9671,39542,14,10,unknown,109,480,480
22,2017-07-19 00:47:34+00:00,14773,58696,13,10,pembroke,100,900,1510
23,2017-07-18 16:08:03+00:00,8636,28766,13,10,mexican_hairless,89,1280,720
24,2017-07-18 00:07:08+00:00,4900,26186,12,10,samoyed,130,1590,1582
25,2017-07-17 16:17:36+00:00,6195,29592,13,10,chihuahua,102,1201,1600
26,2017-07-16 23:58:41+00:00,2582,10226,13,10,kuvasz,122,800,533
27,2017-07-16 20:14:00+00:00,3674,19189,13,10,unknown,72,901,1600
28,2017-07-15 23:25:31+00:00,2581,18035,12,10,french_bulldog,132,1201,1600
29,2017-07-15 16:17:19+00:00,5175,23880,13,10,pug,95,1201,1600
30,2017-07-14 22:10:11+00:00,5511,27861,12,10,blenheim_spaniel,141,1200,1183
31,2017-07-13 15:58:47+00:00,5240,30722,13,10,pug,110,1138,1117
32,2017-07-12 16:03:00+00:00,3612,18716,13,10,malamute,135,1201,1600
33,2017-07-12 00:01:00+00:00,14742,65614,12,10,italian_greyhound,94,960,1280
34,2017-07-11 20:47:12+00:00,4582,23725,13,10,chow,119,1234,1338
35,2017-07-11 00:00:02+00:00,3835,20729,13,10,pug,67,1201,1600
36,2017-07-10 15:58:53+00:00,4725,23178,14,10,pembroke,137,1600,1562
37,2017-07-09 21:29:42+00:00,2464,17431,12,10,german_shepherd,141,1278,1148
38,2017-07-09 00:00:04+00:00,2811,18609,12,10,doberman,138,1175,1438
39,2017-07-08 00:28:19+00:00,8108,39055,5,10,golden_retriever,113,1341,1600
40,2017-07-07 16:22:55+00:00,3021,19386,13,10,chow,140,1280,1600
41,2017-07-07 00:17:54+00:00,5442,31650,13,10,golden_retriever,112,1201,1600
42,2017-07-06 15:58:11+00:00,3189,20433,13,10,eskimo_dog,109,1201,1600
43,2017-07-06 00:46:41+00:00,4029,24151,12,10,labrador_retriever,115,1009,1299
44,2017-07-05 15:48:34+00:00,4966,23932,13,10,pembroke,137,899,1116
45,2017-07-04 16:01:23+00:00,9437,38237,13,10,golden_retriever,115,1200,1600
46,2017-07-04 01:18:17+00:00,4008,24998,13,10,golden_retriever,134,749,1017
47,2017-07-03 16:04:48+00:00,2795,20841,12,10,weimaraner,68,576,1024
48,2017-07-03 00:11:11+00:00,8782,43302,13,10,saluki,116,1201,1600
49,2017-07-02 15:32:16+00:00,13172,42258,14,10,samoyed,131,480,480
50,2017-07-01 21:49:04+00:00,4404,19847,12,10,unknown,139,900,612
51,2017-06-30 23:47:07+00:00,2287,14590,13,10,unknown,73,540,1041
52,2017-06-30 19:35:32+00:00,3156,18207,12,10,pembroke,138,1201,1600
53,2017-06-29 16:39:47+00:00,5129,24386,12,10,golden_retriever,115,1201,1600
54,2017-06-29 00:27:25+00:00,3410,23019,12,10,chihuahua,109,768,1024
55,2017-06-28 16:09:20+00:00,3584,23622,11,10,miniature_pinscher,130,1110,1600
56,2017-06-28 00:42:13+00:00,2877,19156,13,10,basset,92,1600,1201
57,2017-06-27 00:10:17+00:00,2591,20117,12,10,german_short-haired_pointer,91,1279,1600
58,2017-06-26 19:07:24+00:00,36765,90543,13,10,english_springer,83,718,404
59,2017-06-26 16:31:08+00:00,2612,14463,12,10,labrador_retriever,126,1600,1482
60,2017-06-25 18:56:45+00:00,3876,19254,11,10,unknown,133,899,1600
61,2017-06-25 16:07:47+00:00,2205,16308,13,10,vizsla,95,899,1155
62,2017-06-25 00:45:22+00:00,3373,16603,13,10,italian_greyhound,127,1536,2048
63,2017-06-23 16:00:04+00:00,1053,6593,13,10,basset,141,750,502
64,2017-06-23 01:10:23+00:00,5625,35936,14,10,french_bulldog,116,1599,1115
65,2017-06-22 03:54:17+00:00,15535,67533,13,10,chesapeake_bay_retriever,94,1481,1600
66,2017-06-21 15:58:08+00:00,3108,19346,12,10,basset,140,1600,1586
67,2017-06-21 00:06:44+00:00,4270,23519,13,10,saluki,138,1201,1600
68,2017-06-20 16:29:50+00:00,4540,23228,12,10,pembroke,129,1201,1600
69,2017-06-19 16:24:33+00:00,2763,17705,12,10,bloodhound,126,1600,1201
70,2017-06-18 16:57:37+00:00,1964,16102,13,10,golden_retriever,128,1201,1600
71,2017-06-17 16:52:05+00:00,3846,23976,13,10,bernese_mountain_dog,141,1600,1201
72,2017-06-16 16:11:53+00:00,3516,21496,13,10,labrador_retriever,126,1201,1600
73,2017-06-15 00:13:52+00:00,4091,18890,13,10,siberian_husky,134,720,1280
74,2017-06-14 16:04:48+00:00,3894,21890,12,10,west_highland_white_terrier,116,1600,1568
75,2017-06-13 17:29:20+00:00,3847,23855,12,10,labrador_retriever,93,1201,1600
76,2017-06-12 16:06:11+00:00,3416,22347,13,10,cocker_spaniel,115,1260,1600
