,hashtags,symbols,user_mentions,urls,id,id_str,indices,media_url,media_url_https,url,display_url,expanded_url,type,sizes.thumb.w,sizes.thumb.h,sizes.thumb.resize,sizes.medium.w,sizes.medium.h,sizes.medium.resize,sizes.small.w,sizes.small.h,sizes.small.resize,sizes.large.w,sizes.large.h,sizes.large.resize,tweet_id
0,,[],,,892420639486877696,892420639486877696,"[86, 109]",http://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,https://t.co/MgUWQ76dJU,pic.twitter.com/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,photo,150,150,crop,540,528,fit,540,528,fit,540,528,fit,892420643555336193
1,,[],,,892177413194625024,892177413194625024,"[139, 162]",http://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,https://t.co/0Xxu71qeIV,pic.twitter.com/0Xxu71qeIV,https://twitter.com/dog_rates/status/892177421306343426/photo/1,photo,150,150,crop,1055,1200,fit,598,680,fit,1407,1600,fit,892177421306343426
2,,[],,,891815175371796480,891815175371796480,"[122, 145]",http://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,https://t.co/wUnZnhtVJB,pic.twitter.com/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,891815181378084864
3,,[],,,891689552724799489,891689552724799489,"[80, 103]",http://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,https://t.co/tD36da7qLQ,pic.twitter.com/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,891689557279858688
4,BarkWeek,[],,,891327551943041024,891327551943041024,"[139, 162]",http://pbs.twimg.com/media/DF6hr6AVYAAZ8G8.jpg,https://pbs.twimg.com/media/DF6hr6AVYAAZ8G8.jpg,https://t.co/AtUZn91f7f,pic.twitter.com/AtUZn91f7f,https://twitter.com/dog_rates/status/891327558926688256/photo/1,photo,150,150,crop,720,540,fit,680,510,fit,720,540,fit,891327558926688256
5,BarkWeek,[],,,891087942176911360,891087942176911360,"[139, 162]",http://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,https://t.co/kQ04fDDRmh,pic.twitter.com/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,photo,150,150,crop,899,899,fit,680,680,fit,899,899,fit,891087950875897856
6,,[],,https://gofundme.com/ydvmve-surgery-for-jax,890971906207338496,890971906207338496,"[141, 164]",http://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,https://t.co/tVJBRMnhxl,pic.twitter.com/tVJBRMnhxl,https://twitter.com/dog_rates/status/890971913173991426/photo/1,photo,150,150,crop,768,1024,fit,510,680,fit,768,1024,fit,890971913173991426
7,,[],,,890729118844600320,890729118844600320,"[119, 142]",http://pbs.twimg.com/media/DFyBag_UQAAhhBC.jpg,https://pbs.twimg.com/media/DFyBag_UQAAhhBC.jpg,https://t.co/v0nONBcwxq,pic.twitter.com/v0nONBcwxq,https://twitter.com/dog_rates/status/890729181411237888/photo/1,photo,150,150,crop,1084,1200,fit,614,680,fit,1200,1328,fit,890729181411237888
8,BarkWeek,[],,,890609177319665665,890609177319665665,"[123, 146]",http://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,https://t.co/9TwLuAGH0b,pic.twitter.com/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,890609185150312448
9,,[],,,890240245463175168,890240245463175168,"[134, 157]",http://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,https://t.co/t1bfwz5S2A,pic.twitter.com/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,890240255349198849
10,BarkWeek,[],,,890006600089468928,890006600089468928,"[131, 154]",http://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,https://t.co/dVPW0B0Mme,pic.twitter.com/dVPW0B0Mme,https://twitter.com/dog_rates/status/890006608113172480/photo/1,photo,150,150,crop,1200,1199,fit,680,680,fit,1601,1600,fit,890006608113172480
11,,[],,,889880888800096258,889880888800096258,"[108, 131]",http://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,https://t.co/u1XPQMl29g,pic.twitter.com/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,photo,150,150,crop,895,971,fit,627,680,fit,895,971,fit,889880896479866881
12,,[],,,889665366129029120,889665366129029120,"[107, 130]",http://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,https://t.co/BxvuXk0UCm,pic.twitter.com/BxvuXk0UCm,https://twitter.com/dog_rates/status/889665388333682689/photo/1,photo,150,150,crop,960,1200,fit,544,680,fit,1080,1350,fit,889665388333682689
13,,[],,,889638825424826374,889638825424826374,"[92, 115]",http://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,https://t.co/f8dEDcrKSR,pic.twitter.com/f8dEDcrKSR,https://twitter.com/dog_rates/status/889638837579907072/photo/1,photo,150,150,crop,901,1200,fit,510,680,fit,1201,1600,fit,889638837579907072
