,created_at,tweet_id,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,user,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quoted_status,expanded_urls,rating_numerator,rating_denominator,jpg_url,img_num,dog_category,model,dog_breed,conf,dog_name,entities_hashtags,entities_user_mentions,entities_url,entities_size_large_w,entities_size_large_h
0,2017-08-01 16:23:56+00:00,892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,False,86,Twitter for iPhone,nan,nan,,dog_rates,False,6881,32923,False,False,False,en,,,,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,uncategorized,none,unknown,,Phineas,,,https://t.co/MgUWQ76dJU,540.0,528.0
1,2017-08-01 00:17:27+00:00,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",False,139,Twitter for iPhone,nan,nan,,dog_rates,False,5181,28456,False,False,False,en,,,,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,uncategorized,model 1,chihuahua,0.323581,Tilly,,,https://t.co/0Xxu71qeIV,1407.0,1600.0
2,2017-07-31 00:18:03+00:00,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,False,122,Twitter for iPhone,nan,nan,,dog_rates,False,3423,21380,False,False,False,en,,,,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,uncategorized,model 1,chihuahua,0.716012,Archie,,,https://t.co/wUnZnhtVJB,1201.0,1600.0
3,2017-07-30 15:58:51+00:00,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,False,80,Twitter for iPhone,nan,nan,,dog_rates,False,7089,35889,False,False,False,en,,,,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,uncategorized,model 2,labrador_retriever,0.1680859999999999,Darla,,,https://t.co/tD36da7qLQ,1201.0,1600.0
4,2017-07-29 16:00:24+00:00,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",False,139,Twitter for iPhone,nan,nan,,dog_rates,False,7606,34325,False,False,False,en,,,,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,uncategorized,model 1,basset,0.555712,Franklin,BarkWeek,,https://t.co/AtUZn91f7f,720.0,540.0
5,2017-07-29 00:08:17+00:00,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,False,139,Twitter for iPhone,nan,nan,,dog_rates,False,2550,17271,False,False,False,en,,,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,uncategorized,model 1,chesapeake_bay_retriever,0.425595,None,BarkWeek,,https://t.co/kQ04fDDRmh,899.0,899.0
6,2017-07-28 16:27:12+00:00,890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",False,141,Twitter for iPhone,nan,nan,,dog_rates,False,1620,10074,False,False,False,en,,,,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,uncategorized,model 1,appenzeller,0.341703,Jax,,,https://t.co/tVJBRMnhxl,768.0,1024.0
7,2017-07-28 00:22:40+00:00,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,False,119,Twitter for iPhone,nan,nan,,dog_rates,False,15459,55380,False,False,False,en,,,,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,uncategorized,model 1,pomeranian,0.566142,None,,,https://t.co/v0nONBcwxq,1200.0,1328.0
8,2017-07-27 16:25:51+00:00,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,False,123,Twitter for iPhone,nan,nan,,dog_rates,False,3561,23825,False,False,False,en,,,,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,uncategorized,model 1,irish_terrier,0.4875739999999999,Zoey,BarkWeek,,https://t.co/9TwLuAGH0b,1201.0,1600.0
9,2017-07-26 15:59:51+00:00,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,False,134,Twitter for iPhone,nan,nan,,dog_rates,False,5989,27172,False,False,False,en,,,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,doggo,model 1,pembroke,0.511319,Cassie,,,https://t.co/t1bfwz5S2A,1201.0,1600.0
