dog_group,dog_breed
companion_dog,Affenpinscher
sighthound_&_pariah,Afghan_Hound
guardian_dog,Aidi
terrier,Airedale_Terrier
guardian_dog,Akbash_Dog
northern_breed,Akita
northern_breed,Alaskan_Klee_Kai
northern_breed,Alaskan_Malamute
guardian_dog,Alentejo_Mastiff
scenthound,Alpine_Drachsbracke
scenthound,American_Black_&_Tan_Coonhound
guardian_dog,American_Bulldog
companion_dog,American_Bully
northern_breed,American_Eskimo
scenthound,American_Foxhound
terrier,American_Hairless_Terrier
scenthound,American_Leopard_Hound
terrier,American_Pit_Bull_Terrier
sighthound_&_pariah,American_Water_Spaniel
guardian_dog,Anatolian_Shepherd
scenthound,Anglo-Francais_de_Petite_Venerie
guardian_dog,Appenzeller
scenthound,Ariegeois
guardian_dog,Atlas_Mountain_Dog
herding_dog,Australian_Cattle_Dog
herding_dog,Australian_Kelpie
herding_dog,Australian_Shepherd
terrier,Australian_Terrier
scenthound,Austrian_Black_and_Tan_Hound
terrier,Austrian_Pinscher
sighthound_&_pariah,Azawakh
scenthound,Barak
sighthound_&_pariah,Barbet
sighthound_&_pariah,Basenji
scenthound,Basset_Artesien_Normand
scenthound,Basset_Bleu_De_Gascogne
scenthound,Basset_Fauve_De_Bretagne
scenthound,Basset_Hound
scenthound,Bavarian_Mountain_Hound
scenthound,Beagle
scenthound,Beagle_Harrier
herding_dog,Bearded_Collie
herding_dog,Beauceron
terrier,Bedlington_Terrier
herding_dog,Belgian_Shepherd_Dog
herding_dog,Bergamasco
herding_dog,Berger_Des_Pyrenees
herding_dog,Berger_Picard
guardian_dog,Bernese_Mountain_Dog
companion_dog,Bichon_Frise
companion_dog,Biewer_Terrier
scenthound,Billy
scenthound,Black_Forest_Hound_(Slovakian_Hound)
scenthound,Black_Mouth_Cur
guardian_dog,Black_Russian_Terrier
scenthound,Bloodhound
scenthound,Bluetick_Coonhound
companion_dog,Bolognese
herding_dog,Border_Collie
terrier,Border_Terrier
sighthound_&_pariah,Borzoi
companion_dog,Boston_Terrier
herding_dog,Bouvier_Des_Ardennes
herding_dog,Bouvier_des_Flandres
guardian_dog,Boxer
sighthound_&_pariah,Boykin_Spaniel
sighthound_&_pariah,Bracco_Italiano
sighthound_&_pariah,Braque_D'Auvergne
sighthound_&_pariah,Braque_de_l'Ariege
sighthound_&_pariah,Braque_Du_Bourbonnais
sighthound_&_pariah,"Braque_Francais,_de_Grande_Taille"
sighthound_&_pariah,"Braque_Francais,_de_Petite_Taille"
sighthound_&_pariah,Braque_Saint_Germain
herding_dog,Briard
scenthound,Briquet_Griffon_Vendeen
sighthound_&_pariah,Brittany
companion_dog,Brussels_Griffon
terrier,Bull_Terrier
guardian_dog,Bullmastiff
herding_dog,Ca_de_Bestiar_(Majorca_Shepherd_Dog)
terrier,Cairn_Terrier
sighthound_&_pariah,Canaan_Dog
northern_breed,Canadian_Eskimo_Dog
guardian_dog,Cane_Corso_Italiano
guardian_dog,Cao_de_Castro_Laboreiro
herding_dog,Cardigan_Welsh_Corgi
sighthound_&_pariah,Carolina_Dog
herding_dog,Catalonian_Sheepdog
guardian_dog,Caucasian_Ovcharka
companion_dog,Cavalier_King_Charles_Spaniel
guardian_dog,Central_Asian_Shepherd
sighthound_&_pariah,Cesky_Fousek
terrier,Cesky_Terrier
sighthound_&_pariah,Chart_Polski_(Polish_Greyhound)
sighthound_&_pariah,Chesapeake_Bay_Retriever
scenthound,Chien_d'Artois
scenthound,Chien_Francais_Blanc_et_Noir
scenthound,Chien_Francais_Tricolore
companion_dog,Chihuahua
companion_dog,Chinese_Crested
northern_breed,Chinese_Shar-Pei
northern_breed,Chinook
northern_breed,Chow_Chow
guardian_dog,Cimarron_Uruguayo
guardian_dog,Ciobanesc_Romanesc_Carpatin
herding_dog,Ciobanesc_Romanesc_Mioritic
sighthound_&_pariah,Cirneco_dell'Etna
sighthound_&_pariah,Clumber_Spaniel
